threshold	q2	mcc	tpr	ppv	fullseq
1e-1	0.9998953237635992	0.9264991340381562	0.8584905660377359	1.0	True
1e-2	0.9999616187133197	0.9710658909651854	0.9430051813471503	1.0	True
1e-3	0.9999825539605999	0.9864002924951434	0.9783783783783784	0.9945054945054945	True
1e-4	0.9999825539605999	0.9862963476952267	0.9836065573770492	0.989010989010989	True
1e-5	0.9999895323763599	0.9917188018798937	1.0	0.9835164835164835	True
1e-6	0.9999895323763599	0.9917188018798937	1.0	0.9835164835164835	True
1e-7	0.9999895323763599	0.9917188018798937	1.0	0.9835164835164835	True
1e-8	0.9999895323763599	0.9917188018798937	1.0	0.9835164835164835	True
1e-9	0.9999895323763599	0.9917188018798937	1.0	0.9835164835164835	True
1e-10	0.9999895323763599	0.9917188018798937	1.0	0.9835164835164835	True
1e-11	0.9999825539605999	0.9861594674746577	1.0	0.9725274725274725	True
1e-12	0.9999825539605999	0.9861594674746577	1.0	0.9725274725274725	True
1e-1	0.9999232374266394	0.9445042800172374	0.8921568627450981	1.0	False
1e-2	0.9999790647527198	0.9839028541494198	0.9680851063829787	1.0	False
1e-3	0.9999825539605999	0.9864002924951434	0.9783783783783784	0.9945054945054945	False
1e-4	0.9999825539605999	0.9862209138213012	0.988950276243094	0.9835164835164835	False
1e-5	0.9999895323763599	0.9917188018798937	1.0	0.9835164835164835	False
1e-6	0.9999895323763599	0.9917188018798937	1.0	0.9835164835164835	False
1e-7	0.9999895323763599	0.9917188018798937	1.0	0.9835164835164835	False
1e-8	0.9999895323763599	0.9917188018798937	1.0	0.9835164835164835	False
1e-9	0.9999895323763599	0.9917188018798937	1.0	0.9835164835164835	False
1e-10	0.9999895323763599	0.9917188018798937	1.0	0.9835164835164835	False
1e-11	0.9999790647527198	0.9833680437753317	1.0	0.967032967032967	False
1e-12	0.9999790647527198	0.9833680437753317	1.0	0.967032967032967	False
