threshold	q2	mcc	tpr	ppv	fullseq
1e-1	0.9998988133245406	0.9290425965801606	0.8632075471698113	1.0	True
1e-2	0.9999581296515341	0.9687219516682478	0.9384615384615385	1.0	True
1e-3	0.9999755756300616	0.9813940876027166	0.9631578947368421	1.0	True
1e-4	0.9999825540214725	0.9864737811026095	0.978494623655914	0.994535519125683	True
1e-5	0.9999895324128835	0.9918240626018211	0.9891304347826086	0.994535519125683	True
1e-6	0.9999965108042945	0.9972622758289676	1.0	0.994535519125683	True
1e-7	0.9999895324128835	0.9917642133688879	1.0	0.9836065573770492	True
1e-8	0.9999895324128835	0.9917642133688879	1.0	0.9836065573770492	True
1e-9	0.9999895324128835	0.9917642133688879	1.0	0.9836065573770492	True
1e-10	0.9999825540214725	0.9862355782317788	1.0	0.9726775956284153	True
1e-11	0.9999825540214725	0.9862355782317788	1.0	0.9726775956284153	True
1e-12	0.999979064825767	0.9834596348940303	1.0	0.9672131147540983	True
1e-1	0.999923237694479	0.9447827044603205	0.8926829268292683	1.0	False
1e-2	0.9999685972386505	0.976265870610771	0.953125	1.0	False
1e-3	0.999972086434356	0.9786081254232392	0.9629629629629629	0.994535519125683	False
1e-4	0.999986043217178	0.9891380790146813	0.9837837837837838	0.994535519125683	False
1e-5	0.999993021608589	0.994532027700623	0.994535519125683	0.994535519125683	False
1e-6	0.999993021608589	0.9945170344266482	1.0	0.9890710382513661	False
1e-7	0.999986043217178	0.9890037493632036	1.0	0.9781420765027322	False
1e-8	0.999986043217178	0.9890037493632036	1.0	0.9781420765027322	False
1e-9	0.999986043217178	0.9890037493632036	1.0	0.9781420765027322	False
1e-10	0.9999755756300616	0.9806758533487296	1.0	0.9617486338797814	False
1e-11	0.999972086434356	0.9778841666556682	1.0	0.9562841530054644	False
1e-12	0.9999685972386505	0.9750845069168487	1.0	0.9508196721311475	False
